fmp_area,species_name,species_group_code,Scenario,tot_score,final_ranks,top_stocks
BSAI,Pacific sleeper shark,USRK,wt_1,2.7758033303190213,4,Yes
BSAI,Pacific sleeper shark,USRK,wt_2,2.6287126025122842,3,Yes
BSAI,Pacific sleeper shark,USRK,wt_3,2.854392749885388,3,Yes
BSAI,Pacific sleeper shark,USRK,wt_4,2.4279381137887563,2,Yes
BSAI,Pacific sleeper shark,USRK,wt_5,2.2808473859820193,7,Yes
BSAI,Pacific sleeper shark,USRK,wt_equal,4.360145794516982,4,Yes
BSAI,"octopus, North Pacific",OCTP,wt_1,2.8785714285714286,3,Yes
BSAI,"octopus, North Pacific",OCTP,wt_2,2.421831602144462,6,Yes
BSAI,"octopus, North Pacific",OCTP,wt_3,2.596983013428601,6,Yes
BSAI,"octopus, North Pacific",OCTP,wt_4,2.3253529266420845,3,Yes
BSAI,"octopus, North Pacific",OCTP,wt_5,1.8686131002151178,11,No
BSAI,"octopus, North Pacific",OCTP,wt_equal,4.165697420854053,5,Yes
BSAI,"shark, salmon",USRK,wt_1,2.385985040063598,6,Yes
BSAI,"shark, salmon",USRK,wt_2,2.5833897431895756,4,Yes
BSAI,"shark, salmon",USRK,wt_3,2.8239303475798474,4,Yes
BSAI,"shark, salmon",USRK,wt_4,2.2252279960168586,5,Yes
BSAI,"shark, salmon",USRK,wt_5,2.422632699142836,6,Yes
BSAI,"shark, salmon",USRK,wt_equal,4.428941903940238,3,Yes
BSAI,"shark, spiny dogfish",USRK,wt_1,1.7710514990725283,9,Yes
BSAI,"shark, spiny dogfish",USRK,wt_2,1.9737162652964453,9,Yes
BSAI,"shark, spiny dogfish",USRK,wt_3,2.2068342321501873,9,Yes
BSAI,"shark, spiny dogfish",USRK,wt_4,1.6055018490382287,11,No
BSAI,"shark, spiny dogfish",USRK,wt_5,1.3081666152621456,20,No
BSAI,"shark, spiny dogfish",USRK,wt_equal,3.1299043980078576,9,Yes
GOA,Pacific sleeper shark,USRK,wt_1,3.3463293819521676,1,Yes
GOA,Pacific sleeper shark,USRK,wt_2,3.496628604429882,1,Yes
GOA,Pacific sleeper shark,USRK,wt_3,3.744488741372694,1,Yes
GOA,Pacific sleeper shark,USRK,wt_4,2.669339130133837,1,Yes
