fmp_area,agency_species_code,species_name,species_group_code,mean_drate,cv_drate,mean_ntrip,cv_ntrip,max_ntrip,min_ntrip,meanpOFL,meancpOFL,mean_pobs_c,cv_pobs_c,cycle_yrs,dominance,T6_HCR_data,PSA_new,edge_dist,marketable,Tier_jump,complex,multi_tier,complex_lrg,Inflat_spec
BSAI,690,"shark, salmon",USRK,0.9621624175610872,0.019823193918486904,1316.3,0.30766280957894665,1894,661,0.18598504006359806,0.5807944463155532,0.9962520244966354,0.006194246918133404,4,yes,no,1.96,no,no,no,yes,no,yes,no
BSAI,691,"shark, spiny dogfish",USRK,0.9324718674149673,0.0863351609034698,304.9,0.7002915830265974,790,96,0.02105149907252822,0.42638103152036216,0.8169584418728141,0.23976721627421632,4,no,no,2.1,yes,no,no,yes,no,yes,no
BSAI,692,Pacific sleeper shark,USRK,0.9027205894924131,0.04697634467485253,1377.3,0.305133413240956,1912,657,0.4758033303190213,0.18162187470554725,0.9724148511107359,0.05138885974704815,4,yes,no,2.24,no,no,no,yes,no,yes,no
BSAI,870,"octopus, North Pacific",OCTP,0.7006056451365574,0.22322143198287137,1696.8,0.3357716450911326,2549,852,1,0.08652034714606649,0.23575702177751343,0.2932028099780921,4,yes,no,1.06,no,yes,no,yes,no,yes,no
GOA,135,"rockfish, greenstripe",ROCK,0.6798403271375536,0.5886457976602765,22.5,1.1302354174088831,65,1,2.83424792987522e-5,0.21780710047058818,0.3620591590946153,1.0815725266073797,2,no,no,1.88,yes,no,no,yes,yes,yes,no
GOA,137,"rockfish, bocaccio",ROCK,0,0,8.6,0.30617701795552715,12,4,4.501452594507703e-5,0.3518049396296296,0.1844783300159396,1.2802472915659027,2,no,no,1.96,yes,no,no,yes,yes,yes,no
GOA,138,"rockfish, copper",DEM1,0.10116680524560467,2.940757343680811,23.3,1.623612707283895,130,7,0.011026821939507814,0.018249510198177676,0.029442024780338742,1.7099111858274865,2,no,no,2.27,yes,yes,no,yes,yes,yes,yes
GOA,138,"rockfish, copper",ROCK,0.08879461288379059,2.122399447005411,33.6,1.4317507610874625,165,4,2.8975540178123653e-5,1,0.09152837389909285,2.1621933109687923,2,no,no,2.27,yes,yes,no,yes,yes,yes,no
GOA,145,"rockfish, yelloweye (red snapper)",ROCK,0.3572932065966172,0.2752053912608187,1960.6,0.2543202913746596,2700,909,0.03597378054055909,0.8756488422913816,0.49766782412764893,0.10403141028569905,2,yes,no,2.37,no,yes,yes,yes,yes,yes,no
GOA,146,"rockfish, canary",DEM1,0.10391940683070298,0.7585632679033693,104.7,0.3498898741241182,163,43,0.013940515208261589,0.13494649708648648,0.22392468091956944,0.5680953485174386,2,no,no,2.01,yes,yes,no,yes,yes,yes,yes
