name,scenario,scen_value,rank,metric,base_rank,rank_diff,xval
"GOArockfish, quillbackDEM1",drate_0,7.801766134968257,1,mean_drate,5,-4,0
GOAPacific sleeper sharkUSRK,drate_0,7.7627128149692215,2,mean_drate,1,1,0
"GOArockfish, yelloweye (red snapper)ROCK",drate_0,7.755719018388161,3,mean_drate,4,-1,0
"GOArockfish, rosethornDEM1",drate_0,7.582896065584378,4,mean_drate,2,2,0
"GOAshark, salmonUSRK",drate_0,7.223246579799666,5,mean_drate,3,2,0
"GOArockfish, rosethornROCK",drate_0,7.111478879341175,6,mean_drate,6,0,0
"GOArockfish, widowROCK",drate_0,6.839305161925188,7,mean_drate,12,-5,0
"GOArockfish, tigerDEM1",drate_0,6.832101529428801,8,mean_drate,13,-5,0
"GOAoctopus, North PacificOCTP",drate_0,6.757063937227622,9,mean_drate,11,-2,0
"BSAIoctopus, North PacificOCTP",drate_0,6.700848797495008,10,mean_drate,8,2,0
"GOArockfish, canaryDEM1",drate_0,6.59066883607146,11,mean_drate,16,-5,0
"GOArockfish, tigerROCK",drate_0,6.555582221468826,12,mean_drate,10,2,0
"GOArockfish, chinaDEM1",drate_0,6.505710813065482,13,mean_drate,17,-4,0
"BSAIshark, salmonUSRK",drate_0,6.463031510875787,14,mean_drate,7,7,0
"GOArockfish, quillbackROCK",drate_0,6.440959172277931,15,mean_drate,14,1,0
BSAIPacific sleeper sharkUSRK,drate_0,6.429840056135305,16,mean_drate,9,7,0
"GOArockfish, copperROCK",drate_0,6.402271635153556,17,mean_drate,18,-1,0
"GOArockfish, copperDEM1",drate_0,6.36943264263231,18,mean_drate,19,-1,0
"GOArockfish, chinaROCK",drate_0,6.314715864818345,19,mean_drate,15,4,0
"GOArockfish, yellowtailROCK",drate_0,6.1292200497248635,20,mean_drate,20,0,0
"GOArockfish, canaryROCK",drate_0,5.925624178810918,21,mean_drate,21,0,0
"GOArockfish, blackgillROCK",drate_0,5.608497344391834,22,mean_drate,27,-5,0
"GOAgreenling, atka mackerelAMCK",drate_0,5.592883589444982,23,mean_drate,25,-2,0
"GOArockfish, vermilionROCK",drate_0,5.563638216916247,24,mean_drate,23,1,0
"GOArockfish, yellowmouthROCK",drate_0,5.333970253553954,25,mean_drate,30,-5,0
"GOArockfish, splitnoseROCK",drate_0,5.252640948493165,26,mean_drate,24,2,0
"GOArockfish, darkblotchedROCK",drate_0,5.226497699261487,27,mean_drate,26,1,0
"GOArockfish, pygmyROCK",drate_0,5.0809927524235174,28,mean_drate,28,0,0
"BSAIshark, spiny dogfishUSRK",drate_0,5.014390972465705,29,mean_drate,22,7,0
"GOArockfish, stripetailROCK",drate_0,4.754716180447124,30,mean_drate,31,-1,0
"GOArockfish, greenstripeROCK",drate_0,4.751323173473073,31,mean_drate,29,2,0
"GOArockfish, bocaccioROCK",drate_0,4.736328284171514,32,mean_drate,32,0,0
"GOArockfish, auroraROCK",drate_0,4.349008383341537,33,mean_drate,33,0,0
"GOArockfish, chilipepperROCK",drate_0,4.065457406347522,34,mean_drate,34,0,0
"GOArockfish, shortbellyROCK",drate_0,3.9035714285714285,35,mean_drate,35,0,0
GOAPacific sleeper sharkUSRK,drate_1,7.8618568697463465,1,mean_drate,1,0,0.1
"GOArockfish, quillbackDEM1",drate_1,7.823707607611987,2,mean_drate,5,-3,0.1
"GOArockfish, yelloweye (red snapper)ROCK",drate_1,7.791448339047823,3,mean_drate,4,-1,0.1
"GOArockfish, rosethornDEM1",drate_1,7.6430092449356675,4,mean_drate,2,2,0.1
"GOAshark, salmonUSRK",drate_1,7.315299488475762,5,mean_drate,3,2,0.1
"GOArockfish, rosethornROCK",drate_1,7.180873874174304,6,mean_drate,6,0,0.1
"GOArockfish, widowROCK",drate_1,6.867656726637356,7,mean_drate,12,-5,0.1
"GOArockfish, tigerDEM1",drate_1,6.858230965456299,8,mean_drate,13,-5,0.1
"GOAoctopus, North PacificOCTP",drate_1,6.805369085073654,9,mean_drate,11,-2,0.1
"BSAIoctopus, North PacificOCTP",drate_1,6.7709093620086644,10,mean_drate,8,2,0.1
"GOArockfish, tigerROCK",drate_1,6.626158035396545,11,mean_drate,10,1,0.1
"GOArockfish, canaryDEM1",drate_1,6.60106077675453,12,mean_drate,16,-4,0.1
"BSAIshark, salmonUSRK",drate_1,6.5592477526318955,13,mean_drate,7,6,0.1
BSAIPacific sleeper sharkUSRK,drate_1,6.520112115084546,14,mean_drate,9,5,0.1
"GOArockfish, chinaDEM1",drate_1,6.515293217834501,15,mean_drate,17,-2,0.1
"GOArockfish, quillbackROCK",drate_1,6.4859806324626765,16,mean_drate,14,2,0.1
"GOArockfish, copperROCK",drate_1,6.411151096441936,17,mean_drate,18,-1,0.1
"GOArockfish, copperDEM1",drate_1,6.37954932315687,18,mean_drate,19,-1,0.1
"GOArockfish, chinaROCK",drate_1,6.355626224893179,19,mean_drate,15,4,0.1
"GOArockfish, yellowtailROCK",drate_1,6.139619635952184,20,mean_drate,20,0,0.1
"GOArockfish, canaryROCK",drate_1,5.943918821176678,21,mean_drate,21,0,0.1
"GOArockfish, blackgillROCK",drate_1,5.608497344391834,22,mean_drate,27,-5,0.1
"GOAgreenling, atka mackerelAMCK",drate_1,5.605819459604628,23,mean_drate,25,-2,0.1
"GOArockfish, vermilionROCK",drate_1,5.594788747667506,24,mean_drate,23,1,0.1
"GOArockfish, yellowmouthROCK",drate_1,5.333970253553954,25,mean_drate,30,-5,0.1
"GOArockfish, splitnoseROCK",drate_1,5.3026084211865525,26,mean_drate,24,2,0.1
"GOArockfish, darkblotchedROCK",drate_1,5.275373565848609,27,mean_drate,26,1,0.1
"GOArockfish, pygmyROCK",drate_1,5.12290078467195,28,mean_drate,28,0,0.1
"BSAIshark, spiny dogfishUSRK",drate_1,5.107638159207201,29,mean_drate,22,7,0.1
"GOArockfish, greenstripeROCK",drate_1,4.819307206186829,30,mean_drate,29,1,0.1
"GOArockfish, stripetailROCK",drate_1,4.755048015033532,31,mean_drate,31,0,0.1
"GOArockfish, bocaccioROCK",drate_1,4.736328284171514,32,mean_drate,32,0,0.1
"GOArockfish, auroraROCK",drate_1,4.349008383341537,33,mean_drate,33,0,0.1
"GOArockfish, chilipepperROCK",drate_1,4.065457406347522,34,mean_drate,34,0,0.1
"GOArockfish, shortbellyROCK",drate_1,3.9035714285714285,35,mean_drate,35,0,0.1
GOAPacific sleeper sharkUSRK,drate_2,7.961000924523471,1,mean_drate,1,0,0.2
"GOArockfish, quillbackDEM1",drate_2,7.8456490802557175,2,mean_drate,5,-3,0.2
"GOArockfish, yelloweye (red snapper)ROCK",drate_2,7.827177659707485,3,mean_drate,4,-1,0.2
"GOArockfish, rosethornDEM1",drate_2,7.703122424286957,4,mean_drate,2,2,0.2
"GOAshark, salmonUSRK",drate_2,7.4073523971518584,5,mean_drate,3,2,0.2
"GOArockfish, rosethornROCK",drate_2,7.2502688690074315,6,mean_drate,6,0,0.2
"GOArockfish, widowROCK",drate_2,6.896008291349524,7,mean_drate,12,-5,0.2
"GOArockfish, tigerDEM1",drate_2,6.8843604014837965,8,mean_drate,13,-5,0.2
"GOAoctopus, North PacificOCTP",drate_2,6.853674232919684,9,mean_drate,11,-2,0.2
"BSAIoctopus, North PacificOCTP",drate_2,6.84096992652232,10,mean_drate,8,2,0.2
"GOArockfish, tigerROCK",drate_2,6.6967338493242625,11,mean_drate,10,1,0.2
"BSAIshark, salmonUSRK",drate_2,6.655463994388004,12,mean_drate,7,5,0.2
"GOArockfish, canaryDEM1",drate_2,6.611452717437601,13,mean_drate,16,-3,0.2
BSAIPacific sleeper sharkUSRK,drate_2,6.610384174033787,14,mean_drate,9,5,0.2
"GOArockfish, quillbackROCK",drate_2,6.531002092647422,15,mean_drate,14,1,0.2
"GOArockfish, chinaDEM1",drate_2,6.524875622603521,16,mean_drate,17,-1,0.2
"GOArockfish, copperROCK",drate_2,6.420030557730315,17,mean_drate,18,-1,0.2
"GOArockfish, chinaROCK",drate_2,6.396536584968013,18,mean_drate,15,3,0.2
"GOArockfish, copperDEM1",drate_2,6.389666003681431,19,mean_drate,19,0,0.2
"GOArockfish, yellowtailROCK",drate_2,6.1500192221795045,20,mean_drate,20,0,0.2
"GOArockfish, canaryROCK",drate_2,5.962213463542437,21,mean_drate,21,0,0.2
"GOArockfish, vermilionROCK",drate_2,5.625939278418765,22,mean_drate,23,-1,0.2
"GOAgreenling, atka mackerelAMCK",drate_2,5.618755329764273,23,mean_drate,25,-2,0.2
"GOArockfish, blackgillROCK",drate_2,5.608497344391834,24,mean_drate,27,-3,0.2
"GOArockfish, splitnoseROCK",drate_2,5.352575893879939,25,mean_drate,24,1,0.2
